Underlying Price,BTC-4APR25-82000-P-0,BTC-4APR25-82000-P-1
10100,-972088.8439999999,1163273.812
10200,-970448.8439999999,1161633.812
10300,-968808.8439999999,1159993.812
10400,-967168.8439999999,1158353.812
10500,-965528.8439999999,1156713.812
10600,-963888.8439999999,1155073.812
10700,-962248.8439999999,1153433.812
10800,-960608.8439999999,1151793.812
10900,-958968.8439999999,1150153.812
11000,-957328.8439999999,1148513.812
11100,-955688.8439999999,1146873.812
11200,-954048.8439999999,1145233.812
11300,-952408.8439999999,1143593.812
11400,-950768.8439999999,1141953.812
11500,-949128.8439999999,1140313.812
11600,-947488.8439999999,1138673.812
11700,-945848.8439999999,1137033.812
11800,-944208.8439999999,1135393.812
11900,-942568.8439999999,1133753.812
12000,-940928.8439999999,1132113.812
12100,-939288.8439999999,1130473.812
12200,-937648.8439999999,1128833.812
12300,-936008.8439999999,1127193.812
12400,-934368.8439999999,1125553.812
12500,-932728.8439999999,1123913.812
12600,-931088.8439999999,1122273.812
12700,-929448.8439999999,1120633.812
12800,-927808.8439999999,1118993.812
12900,-926168.8439999999,1117353.812
13000,-924528.8439999999,1115713.812
13100,-922888.8439999999,1114073.812
13200,-921248.8439999999,1112433.812
13300,-919608.8439999999,1110793.812
13400,-917968.8439999999,1109153.812
13500,-916328.8439999999,1107513.812
13600,-914688.8439999999,1105873.812
13700,-913048.8439999999,1104233.812
13800,-911408.8439999999,1102593.812
13900,-909768.8439999999,1100953.812
14000,-908128.8439999999,1099313.812
14100,-906488.8439999999,1097673.812
14200,-904848.8439999999,1096033.812
14300,-903208.8439999999,1094393.812
14400,-901568.8439999999,1092753.812
14500,-899928.8439999999,1091113.812
14600,-898288.8439999999,1089473.812
14700,-896648.8439999999,1087833.812
14800,-895008.8439999999,1086193.812
14900,-893368.8439999999,1084553.812
15000,-891728.8439999999,1082913.812
15100,-890088.8439999999,1081273.812
15200,-888448.8439999999,1079633.812
15300,-886808.8439999999,1077993.812
15400,-885168.8439999999,1076353.812
15500,-883528.8439999999,1074713.812
15600,-881888.8439999999,1073073.812
15700,-880248.8439999999,1071433.812
15800,-878608.8439999999,1069793.812
15900,-876968.8439999999,1068153.812
16000,-875328.8439999999,1066513.812
16100,-873688.8439999999,1064873.812
16200,-872048.8439999999,1063233.812
16300,-870408.8439999999,1061593.812
16400,-868768.8439999999,1059953.812
16500,-867128.8439999999,1058313.812
16600,-865488.8439999999,1056673.812
16700,-863848.8439999999,1055033.812
16800,-862208.8439999999,1053393.812
16900,-860568.8439999999,1051753.812
17000,-858928.8439999999,1050113.812
17100,-857288.8439999999,1048473.8119999999
17200,-855648.8439999999,1046833.8119999999
17300,-854008.8439999999,1045193.8119999999
17400,-852368.8439999999,1043553.8119999999
17500,-850728.8439999999,1041913.8119999999
17600,-849088.8439999999,1040273.8119999999
17700,-847448.8439999999,1038633.8119999999
17800,-845808.8439999999,1036993.8119999999
17900,-844168.8439999999,1035353.8119999999
18000,-842528.8439999999,1033713.8119999999
18100,-840888.8439999999,1032073.8119999999
18200,-839248.8439999999,1030433.8119999999
18300,-837608.8439999999,1028793.8119999999
18400,-835968.8439999999,1027153.8119999999
18500,-834328.8439999999,1025513.8119999999
18600,-832688.8439999999,1023873.8119999999
18700,-831048.8439999999,1022233.8119999999
18800,-829408.8439999999,1020593.8119999999
18900,-827768.8439999999,1018953.8119999999
19000,-826128.8439999999,1017313.8119999999
19100,-824488.8439999999,1015673.8119999999
19200,-822848.8439999999,1014033.8119999999
19300,-821208.8439999999,1012393.8119999999
19400,-819568.8439999999,1010753.8119999999
19500,-817928.8439999999,1009113.8119999999
19600,-816288.8439999999,1007473.8119999999
19700,-814648.8439999999,1005833.8119999999
19800,-813008.8439999999,1004193.8119999999
19900,-811368.8439999999,1002553.8119999999
20000,-809728.8439999999,1000913.8119999999
20100,-808088.8439999999,999273.8119999999
20200,-806448.8439999999,997633.8119999999
20300,-804808.8439999999,995993.8119999999
20400,-803168.8439999999,994353.8119999999
20500,-801528.8439999999,992713.8119999999
20600,-799888.8439999999,991073.8119999999
20700,-798248.8439999999,989433.8119999999
20800,-796608.8439999999,987793.8119999999
20900,-794968.8439999999,986153.8119999999
21000,-793328.8439999997,984513.8119999999
21100,-791688.8439999998,982873.8119999999
21200,-790048.8439999998,981233.8119999999
21300,-788408.8439999999,979593.8119999999
21400,-786768.8439999999,977953.8119999999
21500,-785128.8439999999,976313.8119999999
21600,-783488.8439999998,974673.8119999999
21700,-781848.8439999999,973033.8119999999
21800,-780208.8439999999,971393.8119999999
21900,-778568.8439999999,969753.8119999999
22000,-776928.8439999999,968113.8119999999
22100,-775288.844,966473.8119999999
22200,-773648.8439999999,964833.8119999999
22300,-772008.8439999999,963193.8119999999
22400,-770368.844,961553.8119999999
22500,-768728.844,959913.8119999999
22600,-767088.844,958273.8119999999
22700,-765448.844,956633.8119999999
22800,-763808.844,954993.8119999999
22900,-762168.844,953353.8119999999
23000,-760528.8440000002,951713.8119999999
23100,-758888.8440000003,950073.8119999999
23200,-757248.8440000003,948433.8119999999
23300,-755608.8440000003,946793.8119999999
23400,-753968.8440000004,945153.8119999999
23500,-752328.8440000006,943513.8119999999
23600,-750688.8440000006,941873.8119999999
23700,-749048.8440000009,940233.8119999999
23800,-747408.8440000013,938593.8119999999
23900,-745768.8440000014,936953.8119999999
24000,-744128.8440000018,935313.8119999999
24100,-742488.8440000026,933673.8119999999
24200,-740848.8440000031,932033.8119999999
24300,-739208.8440000038,930393.8119999999
24400,-737568.8440000046,928753.8119999999
24500,-735928.8440000056,927113.8119999999
24600,-734288.844000007,925473.8119999999
24700,-732648.8440000087,923833.8119999999
24800,-731008.8440000105,922193.8119999999
24900,-729368.844000013,920553.8119999999
25000,-727728.8440000159,918913.8119999999
25100,-726088.8440000195,917273.8119999999
25200,-724448.8440000236,915633.8119999999
25300,-722808.8440000288,913993.8119999999
25400,-721168.8440000352,912353.8119999999
25500,-719528.8440000425,910713.8119999999
25600,-717888.8440000517,909073.8119999999
25700,-716248.8440000624,907433.8119999999
25800,-714608.8440000756,905793.8119999999
25900,-712968.8440000913,904153.8119999999
26000,-711328.84400011,902513.8119999999
26100,-709688.8440001324,900873.8119999999
26200,-708048.8440001593,899233.8119999999
26300,-706408.8440001912,897593.8119999999
26400,-704768.8440002293,895953.8119999999
26500,-703128.8440002744,894313.8119999999
26600,-701488.8440003281,892673.8119999999
26700,-699848.8440003918,891033.8119999999
26800,-698208.8440004672,889393.8119999999
26900,-696568.8440005565,887753.8119999999
27000,-694928.844000662,886113.8119999999
27100,-693288.8440007865,884473.8119999999
27200,-691648.8440009331,882833.8119999999
27300,-690008.8440011059,881193.8119999999
27400,-688368.8440013088,879553.8119999999
27500,-686728.8440015473,877913.8119999999
27600,-685088.8440018271,876273.8119999999
27700,-683448.8440021547,874633.8119999999
27800,-681808.8440025382,872993.8119999999
27900,-680168.8440029867,871353.8119999999
28000,-678528.8440035102,869713.8119999999
28100,-676888.8440041207,868073.8119999999
28200,-675248.8440048319,866433.8119999999
28300,-673608.8440056598,864793.8119999999
28400,-671968.844006622,863153.8119999999
28500,-670328.844007739,861513.8119999999
28600,-668688.844009035,859873.8119999999
28700,-667048.8440105361,858233.8119999999
28800,-665408.8440122739,856593.8119999999
28900,-663768.8440142828,854953.8119999999
29000,-662128.8440166032,853313.8119999999
29100,-660488.8440192803,851673.8119999999
29200,-658848.8440223661,850033.8119999999
29300,-657208.8440259191,848393.8119999999
29400,-655568.844030006,846753.8119999999
29500,-653928.8440347023,845113.8119999999
29600,-652288.844040093,843473.8119999999
29700,-650648.8440462758,841833.8119999999
29800,-649008.8440533595,840193.8119999999
29900,-647368.8440614677,838553.8119999999
30000,-645728.8440707396,836913.8119999999
